"ENV","AGROZONE","TMAX1","TMIN1","TRAN1","TMEAN1","PRECIP1","RH1","WS1","SRAD1","SSW1","RZSW1","SM1","TMAX2","TMIN2","TRAN2","TMEAN2","PRECIP2","RH2","WS2","SRAD2","SSW2","RZSW2","SM2","TMAX3","TMIN3","TRAN3","TMEAN3","PRECIP3","RH3","WS3","SRAD3","SSW3","RZSW3","SM3","TMAX4","TMIN4","TRAN4","TMEAN4","PRECIP4","RH4","WS4","SRAD4","SSW4","RZSW4","SM4"
"Ikenne20","Derived Savanna",28.2931578947368,22.8909473684211,5.402,25.1732631578947,829.31,91.2201052631579,1.38231578947368,81.4178947368421,0.851894736842105,0.869052631578947,0.940315789473684,28.9147368421053,23.1350526315789,5.77926315789474,25.6586315789474,903.43,90.1936842105263,0.967368421052632,84.7065263157895,0.915368421052632,0.955368421052632,0.975263157894737,30.7905263157895,20.8810526315789,9.90989473684211,25.4991578947368,93.91,78.2754736842105,1.04957894736842,98.0189473684211,0.744631578947368,0.742,0.870421052631579,29.7363541666667,24.0067708333333,5.729375,26.4798958333333,472.15,89.6611458333333,1.18510416666667,95.5538541666667,0.70625,0.6840625,0.807083333333333
"Kano19","Semi Arid/Sudan Savanna",34.1328571428571,22.361978021978,11.770989010989,27.4556043956044,305.53,68.7872527472528,0.296593406593407,107.982637362637,0.387252747252747,0.319230769230769,0.332417582417582,33.4407692307692,15.66,17.7796703296703,23.556043956044,4.04,30.8768131868132,0.834175824175824,104.735604395604,0.221538461538462,0.264175824175824,0.288351648351648,36.1804395604396,18.2951648351648,17.8847252747253,26.5132967032967,1.85,19.2957142857143,1.17,110.467692307692,0.156923076923077,0.221538461538462,0.234065934065934,38.4604301075269,25.129247311828,13.3313978494624,31.3645161290323,103.6,43.7565591397849,1.04655913978495,112.642258064516,0.213333333333333,0.225591397849462,0.229247311827957
"Mokwa17","Southern Guinea Savanna",29.6396808510638,22.8709574468085,6.77063829787234,26.148829787234,583.8,83.5124468085106,1.30574468085106,92.0664893617021,0.615744680851064,0.590957446808511,0.551276595744681,35.0204255319149,20.1743617021277,14.8459574468085,27.0363829787234,24.03,51.4947872340426,1.70978723404255,99.8281914893617,0.389468085106383,0.432234042553191,0.551595744680851,38.1012765957447,23.158829787234,14.943085106383,30.3182978723404,12.69,39.5282978723404,2.12606382978723,106.043191489362,0.284468085106383,0.383617021276596,0.498191489361702,32.0315957446808,24.19,7.84127659574468,27.8659574468085,607.7,77.0287234042553,1.73297872340426,103.644361702128,0.552021276595745,0.541702127659574,0.530531914893617
"Mokwa18","Southern Guinea Savanna",30.6777338129496,22.4820863309353,8.19485611510791,26.3573381294964,1246.96,78.3075539568345,1.36007194244604,96.5680935251799,0.580359712230216,0.564784172661871,0.602194244604317,33.5274460431655,18.8846043165468,14.6429136690647,25.5715107913669,199.95,53.9507194244604,1.83730215827338,94.7596762589928,0.418812949640288,0.450971223021583,0.566223021582734,36.2276978417266,23.2147841726619,13.0125179856115,29.3380575539568,216.6,52.0705395683453,2.04787769784173,101.105575539568,0.350827338129496,0.408525179856115,0.514136690647482,31.8068928571429,23.9963571428571,7.81117857142857,27.6138928571429,1617.66,76.7836428571429,1.83403571428571,95.8246785714286,0.52825,0.516178571428571,0.53225
"Mokwa19","Southern Guinea Savanna",32.9376373626374,22.636978021978,10.3003296703297,27.4857692307692,831.13,66.298956043956,1.78532967032967,93.0474175824176,0.485549450549451,0.511978021978022,0.550274725274725,32.2123076923077,22.8728021978022,9.33978021978022,27.2458791208791,651,72.8710989010989,1.60307692307692,101.351648351648,0.527362637362637,0.520054945054945,0.593076923076923,31.7441208791209,20.7692857142857,10.9745604395604,25.860989010989,650.02,66.9966483516483,1.67384615384615,93.6065934065934,0.538351648351648,0.549505494505494,0.609120879120879,33.8522580645161,21.9929569892473,11.8594086021505,27.4962903225806,220.51,62.8061290322581,1.79559139784946,102.978978494624,0.452741935483871,0.47005376344086,0.583494623655914
"Mokwa20","Southern Guinea Savanna",30.1675308641975,23.0751851851852,7.09320987654321,26.367037037037,463.56,82.0233333333333,1.54802469135802,85.8554320987654,0.554814814814815,0.526172839506173,0.542098765432099,30.9456790123457,22.0335802469136,8.91123456790123,26.2807407407407,406.77,77.5744444444444,1.22345679012346,98.948024691358,0.624814814814815,0.616172839506173,0.650246913580247,33.5864197530864,15.9497530864198,17.637037037037,24.1403703703704,1.47,47.2802469135802,2.24444444444444,100.506543209877,0.411975308641975,0.443333333333333,0.584074074074074,35.9221428571429,24.6295238095238,11.2920238095238,29.8634523809524,235.7,62.0792857142857,2.0397619047619,109.020357142857,0.424880952380952,0.442738095238095,0.539761904761905
"Onne18","Humid Forest",27.3925,23.7540217391304,3.63891304347826,25.1667391304348,2043.06,91.7685869565217,1.13054347826087,63.6357608695652,0.957391304347826,0.991847826086957,0.983913043478261,28.2904347826087,24.0469565217391,4.24434782608696,25.7622826086957,677.46,90.7069565217391,0.924891304347826,78.8932608695652,0.927173913043478,0.965326086956522,0.967608695652174,30.1104347826087,23.9485869565217,6.15978260869565,26.609347826087,210.4,83.7175,0.921413043478261,86.2467391304348,0.757282608695652,0.753152173913043,0.824782608695652,28.7297849462366,24.9959139784946,3.73451612903226,26.505376344086,785.74,90.7843010752688,0.977956989247312,83.4890322580645,0.862258064516129,0.881935483870968,0.915376344086022
"Onne19","Humid Forest",28.0046153846154,24.3647252747253,3.64010989010989,25.8242857142857,2728.28,91.6314285714286,1.00582417582418,77.2032967032967,0.927252747252747,0.957692307692308,0.963296703296703,27.6396703296703,23.6889010989011,3.94923076923077,25.2512087912088,2659.1,91.6518681318681,1.04175824175824,75.1036263736264,0.96,0.992747252747253,0.983736263736264,29.6068131868132,24.3275824175824,5.27912087912088,26.5891208791209,527.74,86.0652747252747,0.858351648351648,86.988021978022,0.874175824175824,0.903186813186813,0.92978021978022,29.8208602150538,25.245376344086,4.5752688172043,27.1544086021505,560.26,87.0841935483871,0.971612903225806,87.3823655913979,0.773010752688172,0.761290322580645,0.833978494623656
"Onne20","Humid Forest",28.3973109243697,24.6149579831933,3.78235294117647,26.1320168067227,1552.16,90.8066386554622,1.04050420168067,74.2767226890756,0.864453781512605,0.877142857142857,0.906470588235294,28.0488235294118,24.0049579831933,4.04386554621849,25.6381512605042,1908.16,91.4342016806723,0.976218487394958,80.5132773109244,0.963697478991597,0.994621848739496,0.985546218487395,30.5309243697479,24.0606722689076,6.46991596638656,26.9844537815126,402.75,81.8619327731092,0.926890756302521,93.6714285714286,0.77218487394958,0.77781512605042,0.838487394957983,28.4839495798319,24.5959663865546,3.88823529411765,26.1870588235294,1531.95,90.7085714285714,0.997394957983193,78.513025210084,0.91672268907563,0.946386554621849,0.957478991596639
"Otobi18","Derived Savanna",28.8958064516129,22.6655913978495,6.22989247311828,25.4287096774194,501.43,87.4218279569892,1.61247311827957,88.3079569892473,0.779569892473118,0.770537634408602,0.821397849462366,31.7456989247312,19.46,12.2860215053763,25.3249462365591,12.57,60.6695698924731,1.70795698924731,99.9488172043011,0.633763440860215,0.651290322580645,0.780752688172043,33.1458064516129,23.8536559139785,9.29225806451613,27.9347311827957,108.35,74.6897849462366,2.42913978494624,97.4436559139785,0.578172043010753,0.605161290322581,0.71752688172043,29.832688172043,23.0216129032258,6.81161290322581,25.9402150537634,486.42,84.5644086021505,2.0252688172043,89.2490322580645,0.692258064516129,0.680430107526882,0.722150537634409
"Otobi19","Derived Savanna",28.8386813186813,22.5479120879121,6.29131868131868,25.3047252747253,1151.16,87.3721978021978,1.79450549450549,89.3135164835165,0.767692307692308,0.754725274725275,0.795824175824176,32.1854945054945,20.7893406593407,11.3959340659341,26.1442857142857,117.12,66.6704395604396,1.58648351648352,102.628351648352,0.634065934065934,0.653406593406593,0.778571428571429,34.4720879120879,23.7035164835165,10.7685714285714,28.5446153846154,60.62,64.1779120879121,2.38747252747253,98.3482417582418,0.483846153846154,0.581978021978022,0.711098901098901,32.138064516129,24.1510752688172,7.98709677419355,27.609247311828,386.02,77.8396774193548,2.11408602150538,96.4474193548387,0.563010752688172,0.594193548387097,0.68741935483871
"Ubiaja17","Derived Savanna",28.188125,22.3726041666667,5.81635416666667,24.8682291666667,905.64,90.2434375,1.78875,81.2947916666667,0.791145833333333,0.785520833333333,0.8303125,30.3227083333333,21.4348958333333,8.88885416666667,25.62,95.45,78.6585416666667,1.22354166666667,94.0223958333333,0.725416666666667,0.724166666666667,0.871458333333333,30.6578125,23.0264583333333,7.62989583333333,26.4270833333333,322.87,83.3882291666667,1.5653125,93.9247916666667,0.6884375,0.681770833333333,0.8065625,28.7096907216495,22.8419587628866,5.86824742268041,25.4118556701031,1042.66,89.7839175257732,1.72226804123711,86.870618556701,0.78639175257732,0.778144329896907,0.865257731958763
"Ubiaja18","Derived Savanna",28.1249019607843,22.3677450980392,5.75813725490196,24.8516666666667,1288.59,90.5042156862745,1.87333333333333,79.6617647058823,0.842843137254902,0.844117647058824,0.911274509803922,29.308137254902,22.3035294117647,7.00441176470588,25.5430392156863,275.96,85.9144117647059,1.30490196078431,88.8201960784314,0.852647058823529,0.865882352941176,0.953235294117647,30.1548039215686,21.2550980392157,8.90019607843137,25.4167647058824,163.66,77.6282352941176,1.7293137254902,88.4796078431373,0.717450980392157,0.708627450980392,0.859411764705882,28.9458252427184,22.9349514563107,6.01087378640777,25.5636893203883,755.56,89.281067961165,1.81902912621359,87.7309708737864,0.751747572815534,0.738640776699029,0.858932038834951
"Ubiaja20","Derived Savanna",28.3055675675676,22.4630810810811,5.84151351351351,25.0105945945946,2053.38,90.336,1.8907027027027,77.9419459459459,0.821675675675676,0.815405405405405,0.917081081081081,28.5826486486487,22.5855135135135,5.9967027027027,25.3332972972973,1800.42,89.7124864864865,1.35605405405405,86.6797837837838,0.937459459459459,0.969513513513513,0.984108108108108,30.4331891891892,19.3082162162162,11.1245405405405,24.9048648648649,23.06,67.7007027027027,1.53037837837838,96.0303243243243,0.749027027027027,0.743351351351351,0.898486486486486,30.2729411764706,23.6686096256684,6.60508021390374,26.587807486631,724.55,86.8839037433155,1.70909090909091,96.9209625668449,0.720695187165775,0.707700534759358,0.840909090909091
"Umudike17","Humid Forest",28.0564210526316,22.6986315789474,5.358,24.9911578947368,1057.5,91.0985263157895,1.58231578947368,78.6252631578947,0.857473684210526,0.874526315789474,0.951473684210526,29.5883157894737,22.2841052631579,7.30442105263158,25.7511578947368,157.21,83.4745263157895,1.10810526315789,91.8714736842105,0.83221052631579,0.851473684210526,0.953473684210526,30.4995789473684,23.3171578947368,7.18305263157895,26.5996842105263,292.16,84.0129473684211,1.34157894736842,93.5176842105263,0.703157894736842,0.687052631578947,0.884736842105263,28.9524210526316,23.2614736842105,5.69084210526316,25.7105263157895,848.22,89.8114736842105,1.48357894736842,82.0857894736842,0.793263157894737,0.789684210526316,0.929473684210526
"Umudike19","Humid Forest",28.2635164835165,22.6095604395604,5.65461538461538,25.0664835164835,1391.7,90.6671428571429,1.52395604395604,83.2061538461539,0.885384615384615,0.922747252747253,0.973956043956044,29.7938461538462,21.9546153846154,7.84021978021978,25.7843956043956,322.7,80.5587912087912,1.13032967032967,91.2402197802198,0.81043956043956,0.82978021978022,0.946043956043956,30.4301098901099,23.5215384615385,6.90846153846154,26.6552747252747,218.44,83.6585714285714,1.47428571428571,91.3449450549451,0.667692307692308,0.657692307692308,0.863626373626374,29.1689247311828,23.429247311828,5.74043010752688,25.9037634408602,1364.26,89.4111827956989,1.53569892473118,83.0243010752688,0.713870967741935,0.697849462365591,0.868494623655914
"Zaria20","Northern Guinea Savanna",28.2898039215686,20.7205882352941,7.56921568627451,24.1413725490196,820.49,82.9183333333333,1.6671568627451,100.446078431373,0.605686274509804,0.557843137254902,0.562647058823529,29.1782352941176,15.7816666666667,13.3974509803922,21.8067647058824,168.77,59.3752941176471,2.34970588235294,103.233039215686,0.570588235294118,0.563921568627451,0.646470588235294,32.3748039215686,17.2143137254902,15.1605882352941,23.9494117647059,261.89,41.5556862745098,3.21852941176471,106.48431372549,0.425980392156863,0.449117647058824,0.496470588235294,28.7731730769231,21.2738461538462,7.5,24.5713461538462,1285.1,84.2194230769231,2.09230769230769,107.277788461538,0.700480769230769,0.675865384615385,0.709134615384615
