"","Abuja20","Ago-Owu18","Ago-Owu19","Ago-Owu20","Ibadan18","Ibadan19","Ibadan20","Ikenne17","Ikenne18","Ikenne19","Ikenne20","Kano19","Mokwa17","Mokwa18","Mokwa19","Mokwa20","Onne18","Onne19","Onne20","Otobi18","Otobi19","Ubiaja17","Ubiaja18","Ubiaja20","Umudike17","Umudike19","Zaria20"
"Ikenne20",0.594282178994423,0.639933903889006,0.353916121025816,0.907123533735815,0.256713944745786,0.683243438943546,0.715282489228625,0.83118769668754,0.71812273245883,0.331066661206016,1,0.345019300170535,0.375067744916109,0.614782819641978,0.688678148268198,0.92387655947488,0.998196764961388,0.743375082224566,0.564367733131635,0.315287859709142,0.455642719886913,0.665515685201126,0.28106398652802,0.65746648191117,0.775077833310052,0.664369890420237,0.863238162381419
"Kano19",0.347422951227052,-0.349889034744324,-0.0985980682883178,0.176291763208679,-0.16693603555139,-0.0938770288345725,-0.0417002443777909,0.194963450400631,-0.270757979760247,0.201293732948224,0.345019300170535,1,0.983064566689944,0.520603227023071,0.493129624506697,0.579572532543114,0.360863120862352,0.0468384796899671,-0.00959961714962079,0.0794028134067842,-0.277484103736614,-0.0440343300203061,-0.0763494297944023,0.648277156992082,0.0297767499661865,-0.0129548626800268,0.676562906771366
"Mokwa17",0.494745215217686,-0.318827942486073,-0.0550314403000802,0.21723675273567,-0.124633753969728,-0.042321015936344,0.0415245808405399,0.255419503051433,-0.215949111066977,0.299116846127665,0.375067744916109,0.983064566689944,1,0.526752828385255,0.466479453848048,0.646409011995968,0.400635698461528,0.164483883454163,0.11224267372084,0.259778989961608,-0.123362030831309,0.107587522483209,0.059945167723239,0.758432013866692,0.164189183357247,0.0782918160849001,0.745126901888513
"Mokwa18",0.403698586430422,0.194086209631394,0.138051445289526,0.509007846310431,0.0660569324293026,0.302835247171553,0.33418169934877,0.476042436330702,0.258438975657287,0.226233083013035,0.614782819641978,0.520603227023071,0.526752828385255,1,0.51625626619217,0.655258991797543,0.618555239104423,0.375964351198872,0.266939817210642,0.168924606024066,0.116983398645673,0.302730011861456,0.101565445741144,0.542877583373263,0.384364196741276,0.318153533233379,0.658649743087946
"Mokwa19",0.286252454222337,0.282368913113597,0.147694749412991,0.573471220915881,0.0699503830734549,0.3493902363925,0.34413104201239,0.505736420871613,0.323096079443721,0.142087206238739,0.688678148268198,0.493129624506697,0.466479453848048,0.51625626619217,1,0.654023215339648,0.679584475879286,0.342137838365729,0.208447967987015,-2.88264667093545e-05,0.0318865809922382,0.227814064125886,-0.00703223777050199,0.448038694006022,0.337504720008856,0.309016303851499,0.637621368943931
"Mokwa20",0.78774629143068,0.413670054962835,0.299938697339651,0.811479307054771,0.200680986466204,0.564200722874105,0.652926944019724,0.788644579237263,0.535136039472445,0.464615308209434,0.92387655947488,0.579572532543114,0.646409011995968,0.655258991797543,0.654023215339648,1,0.942190453258181,0.75510598839681,0.605601779080027,0.532157995345554,0.478654401984528,0.714626614806998,0.388166482631615,0.884080924310828,0.798049279856978,0.635731073442554,0.989462767411418
"Onne18",0.638752969469279,0.626238294082794,0.357509981012105,0.905960283174706,0.26001770542449,0.682516272188108,0.72550956242462,0.838425731934188,0.712632562361585,0.361107830663865,0.998196764961388,0.360863120862352,0.400635698461528,0.618555239104423,0.679584475879286,0.942190453258181,1,0.766562446102365,0.591097346106404,0.368618705406478,0.487361339078619,0.698643675437316,0.316547229202516,0.697296354089172,0.802472107164489,0.679073503683898,0.88617270037265
"Onne19",0.778039712069187,0.595327601750596,0.387752655448344,0.732990247536475,0.325374264464923,0.643879378129551,0.746331041656185,0.729961681962024,0.70467165335721,0.475806526033328,0.743375082224566,0.0468384796899671,0.164483883454163,0.375964351198872,0.342137838365729,0.75510598839681,0.766562446102365,1,0.74063558988667,0.711364780762419,0.793173794388935,0.90031637018173,0.588809136188523,0.674504396968929,0.919595311681282,0.727840323410711,0.701887286831843
"Onne20",0.71311679344505,0.475551306029537,0.330977745978613,0.572648645954917,0.285964218887326,0.525892861751173,0.632555687766209,0.590514518616317,0.578193177697699,0.444535139202855,0.564367733131635,-0.00959961714962079,0.11224267372084,0.266939817210642,0.208447967987015,0.605601779080027,0.591097346106404,0.74063558988667,1,0.706297455418112,0.747483470434045,0.816873194158186,0.574589962602219,0.590733163104446,0.810878722384455,0.626790253211821,0.566134783216741
"Otobi18",0.891116648942303,0.189811974218733,0.257026311952085,0.34058003591726,0.230598298820007,0.336540525880537,0.514515111815605,0.437831285029581,0.334520847514126,0.580802096794621,0.315287859709142,0.0794028134067842,0.259778989961608,0.168924606024066,-2.88264667093545e-05,0.532157995345554,0.368618705406478,0.711364780762419,0.706297455418112,1,0.830033374566348,0.870640772565271,0.742559135412226,0.740759417418567,0.801393143831418,0.555062819568205,0.547231310619292
